trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file,thisN,thisTrialN,thisRepN,Response,RT,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,inner.thisRepN,inner.thisTrialN,inner.thisN,inner.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,SFT1.thisRepN,SFT1.thisTrialN,SFT1.thisN,SFT1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,SFT_2.thisRepN,SFT_2.thisTrialN,SFT_2.thisN,SFT_2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,SFT_3.thisRepN,SFT_3.thisTrialN,SFT_3.thisN,SFT_3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,SFT_4.thisRepN,SFT_4.thisTrialN,SFT_4.thisN,SFT_4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,SFT_5.thisRepN,SFT_5.thisTrialN,SFT_5.thisN,SFT_5.thisIndex,thisRow.t,notes,piloting,studyintro.started,intro.started,confirm.started,studyintro.stopped,confirm.keys,confirm.rt,confirm.duration,practice_intro.started,prac_intro.started,key_resp_2.started,practice_intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,study_stage.started,Fix.started,Fix.stopped,stim1.started,stim2.started,stim1.stopped,stim2.stopped,audi1.started,audi1.stopped,audi2.started,audi2.stopped,study_stage.stopped,probe.started,Fixation.started,Fixation.stopped,targetV.started,targetA.started,targetA.stopped,targetV.stopped,probe.stopped,ResponseBox.duration,condition,TargetA,TargetC,Probe,inner.Response,feedback.started,answer.started,answer.stopped,feedback.stopped,Acc,col_type,aud_type,inner.RT,SFT_start.started,text.started,key_resp_3.started,SFT_start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,SFT1.Response,SFT1.RT,rest.started,timeout.started,breakend.started,rest.stopped,breakend.keys,breakend.rt,breakend.duration,SFT_2.Response,SFT_2.RT,SFT_3.Response,SFT_3.RT,SFT_4.Response,SFT_4.RT,SFT_5.Response,SFT_5.RT,End.started,EndExp.started,callExp.started,End.stopped,callExp.keys,callExp.rt,callExp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.018714100000011058,0.03558169999996608,0.03558169999996608,80.62118540000006,space,80.58176720000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62122250000004,80.63532769999995,80.63532769999995,82.47053019999998,space,1.8219245000000228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,0,0,0,None,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.70699249999996,,,,,,,,,,,,,,,,,82.50066600000002,82.5203143,82.82049810000001,82.82049810000001,83.8047358,83.82133869999996,84.80543869999997,84.8054762666667,85.65642930000001,85.80632276666667,86.69020390000003,86.69025139999997,86.69956309999998,86.70699249999996,87.00727870000003,87.02396269999997,87.0239453666667,87.84126609999998,88.0248699,89.20904170000006,no_response,5,stimuli/T03_ada.wav,#C3704D,0,None,89.21025889999999,90.00949290000005,91.01049460000002,90.9940368,0,color2_target,audio2_L_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,1,0,1,None,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01049460000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.00325840000005,91.01049460000002,91.31076670000004,91.32723969999995,91.32743336666671,92.17844319999995,92.32823670000005,93.51278079999997,no_response,9,stimuli/T03_ana.wav,#FD852F,1,None,93.51283690000002,94.31325979999997,95.3141008,95.29757010000003,0,color2_H,audio2_H_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,2,0,2,3,1.466,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3141008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.29913260000001,95.3141008,95.61440389999996,95.63100169999996,95.63107056666662,96.51511010000002,96.63188400000001,97.28218349999997,no_response,7,stimuli/T03_ava.wav,#FD852F,2,3,97.28438389999997,97.29904920000001,,98.28338740000004,1,color2_H,audio2_target_file,1.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,3,0,3,None,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.30001890000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.29335700000001,98.30001890000005,98.60031590000006,98.61705770000003,98.61698256666672,99.43420230000004,99.61776350000002,100.80197899999996,no_response,16,stimuli/T02_aba.wav,#00BBBF,3,None,100.80310759999998,101.60262720000003,102.6036044,102.58705269999996,0,color1_L,audio1_L_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,4,0,4,None,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6036044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.59012829999995,102.6036044,102.9038031,102.92041519999998,102.92046976666667,103.7877952,103.92134580000004,105.10558679999997,no_response,0,stimuli/T02_ama.wav,#008470,4,None,105.10565970000005,105.88973139999996,106.89008639999997,106.87394040000004,0,color1_target,audio1_target_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,5,0,5,None,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.89008639999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.88587819999998,106.89008639999997,107.19056760000001,107.20744439999999,107.20723426666667,108.12490700000001,108.20810630000005,109.39257669999995,no_response,10,stimuli/T02_athetaa.wav,#00BBBF,5,None,109.39265909999995,110.19330790000004,111.19392470000003,111.17764350000004,0,color1_L,audio1_H_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,6,0,6,3,1.373,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19392470000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18057680000004,111.19392470000003,111.49417940000001,111.51087359999997,111.51084606666667,112.37878639999997,112.51170119999995,113.07884079999997,no_response,0,stimuli/T02_ama.wav,#008470,6,3,113.07893509999997,113.09536530000003,,114.07977359999995,0,color1_target,audio1_target_file,1.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
1,#008470,#002C21,#00BBBF,38.65,25.32,58.08,#C3704D,#FD852F,#874613,34.0,20.46,41.58,m,theta,b,1,5,T02,T02,T02,stimuli/T02_ama.wav,stimuli/T02_athetaa.wav,stimuli/T02_aba.wav,v,n,d,4,81,T03,T03,T03,stimuli/T03_ava.wav,stimuli/T03_ana.wav,stimuli/T03_ada.wav,7,0,7,4,1.675,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.09601359999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.08254320000003,114.09601359999999,114.39634450000005,114.41374080000003,114.41301116666672,115.28062810000006,115.41403249999996,116.28196660000003,no_response,12,stimuli/T02_ama.wav,#00BBBF,7,4,116.28204129999995,116.29797510000003,,117.28269390000003,0,color1_L,audio1_target_file,1.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595945,001,2026-05-11_11h28.56.522,VAWM,,2026.1.3,60.01583217654687,2026-05-11 11h28.57.488074 -0500,
