pair,L_star,C_star,h_center_deg,A_h_deg,A_hex,A_hsv,A_hsl,A_Lab,B_h_deg,B_hex,B_hsv,B_hsl,B_Lab,dE00,dE76
1,55.0,38.0,265.0,257.71,#2A8BC3,"202.1,78.3,76.7","202.1,64.3,46.6","55.00,-8.09,-37.13",272.29,#5286C5,"212.8,58.4,77.3","212.8,49.9,54.7","55.00,1.52,-37.97",6.49,9.65
2,55.0,38.0,269.8,261.34,#368AC4,"204.6,72.5,77.0","204.6,56.8,49.1","55.00,-5.72,-37.57",278.22,#5F84C5,"218.1,51.8,77.1","218.1,46.6,57.1","55.00,5.43,-37.61",7.98,11.15
3,55.0,38.0,274.6,266.21,#4388C5,"208.1,65.8,77.2","208.1,52.7,51.8","55.00,-2.51,-37.92",282.91,#6882C4,"223.0,46.7,76.7","223.0,43.5,58.8","55.00,8.49,-37.04",8.37,11.04
4,55.0,38.0,279.3,273.53,#5586C5,"213.8,57.0,77.3","213.8,49.2,55.3","55.00,2.34,-37.93",285.13,#6C81C3,"225.6,44.4,76.5","225.6,41.9,59.5","55.00,9.92,-36.68",6.12,7.68
5,55.0,38.0,284.1,278.05,#5E84C5,"217.9,52.0,77.1","217.9,46.7,57.1","55.00,5.32,-37.63",290.18,#767FC1,"232.5,39.1,75.8","232.5,38.0,61.0","55.00,13.11,-35.67",6.62,8.03
6,55.0,38.0,288.9,280.1,#6383C4,"220.0,49.7,77.0","220.0,45.4,57.8","55.00,6.66,-37.41",297.68,#837CBE,"245.9,34.7,74.5","245.9,33.6,61.6","55.00,17.65,-33.65",9.71,11.61
7,55.0,38.0,293.7,287.95,#7280C2,"229.3,41.4,76.1","229.3,39.8,60.4","55.00,11.71,-36.15",299.38,#857BBD,"249.1,34.8,74.1","249.1,33.2,61.2","55.00,18.64,-33.11",6.28,7.57
8,55.0,38.0,298.4,292.38,#7A7EC0,"236.0,36.8,75.5","236.0,36.2,61.6","55.00,14.47,-35.14",304.51,#8D79BA,"258.5,34.9,72.9","258.5,32.0,60.2","55.00,21.53,-31.31",6.49,8.03
9,55.0,38.0,303.2,293.64,#7C7EC0,"238.3,35.5,75.3","238.3,35.1,61.9","55.00,15.24,-34.81",312.8,#9976B4,"273.7,34.7,70.6","273.7,29.4,58.4","55.00,25.82,-27.88",9.8,12.65
10,55.0,38.0,308.0,299.21,#857BBD,"248.7,34.7,74.2","248.7,33.3,61.3","55.00,18.54,-33.17",316.79,#9E74B1,"281.2,34.4,69.4","281.2,28.1,57.5","55.00,27.70,-26.02",8.53,11.61
