trial,condition,Response,RT,chanel,Acc
P,9,3,1.1508342,nonTT,1
P,4,4,0.9033191,nonTT,0
P,13,3,0.6439126,nonTT,1
P,6,3,0.6723114,nonTT,1
P,11,3,0.9978455,nonTT,1
P,0,3,1.0006241,TT,0
P,1,4,0.9174198,TT,1
P,2,3,1.2361627,nonTT,1
P,11,3,0.7837762,nonTT,1
T,1,3,1.8494421,TT,0
T,16,3,1.0169532,nonTT,1
T,7,3,1.1197413,nonTT,1
T,3,3,1.3786066,nonTT,1
T,5,4,1.3181873,nonTT,0
T,1,4,0.768206,TT,1
T,12,3,1.3328286,nonTT,1
T,14,3,0.8663014,nonTT,1
T,1,4,0.8843315,TT,1
T,4,3,1.1680107,nonTT,1
T,15,3,0.7662246,nonTT,1
T,6,4,1.6505163,nonTT,0
T,10,3,0.933545,nonTT,1
T,3,3,1.5330511,nonTT,1
T,12,3,1.1133984,nonTT,1
T,0,3,1.150849,TT,0
T,15,3,1.1800672,nonTT,1
T,12,3,0.9319413,nonTT,1
T,11,3,0.7509986,nonTT,1
T,1,3,0.7851753,TT,0
T,6,3,1.2826426,nonTT,1
T,2,3,0.9841185,nonTT,1
T,8,3,0.7672012,nonTT,1
T,0,4,1.3143497,TT,1
T,5,3,1.0835905,nonTT,1
T,14,3,1.0349394,nonTT,1
T,14,3,0.8328777,nonTT,1
T,0,4,1.2001504,TT,1
T,17,3,0.9325183,nonTT,1
T,1,3,1.1167541,TT,0
T,4,3,1.3022467,nonTT,1
T,6,3,0.6837977,nonTT,1
T,2,3,1.200523,nonTT,1
T,12,3,1.4333987,nonTT,1
T,14,3,1.5347419,nonTT,1
T,10,3,0.6023301,nonTT,1
T,1,4,1.0024375,TT,1
T,13,3,0.5502667,nonTT,1
T,5,3,1.2172962,nonTT,1
T,11,3,0.7835924,nonTT,1
T,7,3,0.9338757,nonTT,1
T,2,3,0.9845928,nonTT,1
T,0,4,1.2168488,TT,1
T,17,3,0.9157506,nonTT,1
T,15,3,0.4837987,nonTT,1
T,3,3,0.9021753,nonTT,1
T,17,3,0.9016211,nonTT,1
T,1,4,0.967606,TT,1
T,17,3,0.8178105,nonTT,1
T,13,3,0.6857265,nonTT,1
T,4,3,1.0144279,nonTT,1
T,7,3,0.9322557,nonTT,1
T,1,4,0.8321482,TT,1
T,16,3,0.8987288,nonTT,1
T,6,4,1.0576883,nonTT,0
T,12,3,0.7673571,nonTT,1
T,1,3,1.8303648,TT,0
T,1,3,0.8830156,TT,0
T,8,3,1.2836515,nonTT,1
T,3,3,1.4826124,nonTT,1
T,5,3,0.8339594,nonTT,1
T,8,3,1.0672822,nonTT,1
T,1,3,1.1190715,TT,0
T,4,3,1.6823645,nonTT,1
T,14,3,0.8330255,nonTT,1
T,3,3,1.15047,nonTT,1
T,0,4,1.6017575,TT,1
T,12,3,0.76757,nonTT,1
T,7,3,0.8679728,nonTT,1
T,10,3,0.9660051,nonTT,1
T,1,4,1.3343104,TT,1
T,16,3,0.8842153,nonTT,1
T,8,3,0.8987344,nonTT,1
T,11,3,1.2169222,nonTT,1
T,0,3,0.8588202,TT,0
T,2,3,1.2516983,nonTT,1
T,5,3,1.1837809,nonTT,1
T,13,3,1.1668104,nonTT,1
T,3,3,1.1508338,nonTT,1
T,9,3,0.8181222,nonTT,1
T,6,3,0.8998045,nonTT,1
T,11,3,1.5010605,nonTT,1
T,4,3,0.8653419,nonTT,1
T,8,3,0.8505956,nonTT,1
T,1,3,0.8994845,TT,0
T,12,3,0.7678006,nonTT,1
T,1,3,1.2325941,TT,0
T,10,3,1.5656156,nonTT,1
T,11,3,0.839071,nonTT,1
T,2,4,1.1498188,nonTT,0
T,8,3,1.0370545,nonTT,1
T,12,4,1.1186927,nonTT,0
T,7,3,0.8688238,nonTT,1
T,0,4,1.5497178,TT,1
T,0,4,0.9165707,TT,1
T,4,3,0.8837958,nonTT,1
T,1,4,1.5817607,TT,1
T,2,3,1.866197,nonTT,1
T,1,3,1.1324603,TT,0
T,15,3,0.7674365,nonTT,1
T,10,3,1.1538868,nonTT,1
T,16,3,0.8348758,nonTT,1
T,12,4,1.4818777,nonTT,0
T,4,3,0.7495308,nonTT,1
T,6,3,0.8168821,nonTT,1
T,7,4,0.6823352,nonTT,0
T,12,4,1.4844461,nonTT,0
T,1,3,1.0682072,TT,0
T,1,3,1.3992268,TT,0
T,9,4,1.1352879,nonTT,0
T,10,3,0.9825241,nonTT,1
T,9,3,1.1830317,nonTT,1
T,5,4,1.083193,nonTT,0
T,6,3,0.9034893,nonTT,1
T,1,3,1.0000073,TT,0
T,15,3,0.8999078,nonTT,1
T,2,3,1.1984622,nonTT,1
T,8,3,0.8487431,nonTT,1
T,10,3,0.8691401,nonTT,1
T,1,3,0.9666894,TT,0
T,13,3,1.1191538,nonTT,1
T,15,3,0.9995707,nonTT,1
T,11,3,0.6328023,nonTT,1
T,0,3,1.0843337,TT,0
T,10,3,0.8323166,nonTT,1
T,6,3,0.854358,nonTT,1
T,0,3,0.9826924,TT,0
T,12,3,0.7332493,nonTT,1
T,3,3,1.0119388,nonTT,1
T,13,3,0.7333596,nonTT,1
