trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,-5.927,-40.114,#298AC9,-1.35,-43.621,#3488CF,12.215,-15.89,#8C7E9F,5.77,30.26,2.42,26.49
2,55.0,-2.049,-30.246,#5887B8,-8.861,-34.82,#318BBF,18.624,-9.0,#9D7994,8.21,29.64,5.8,26.93
3,55.0,-18.483,-18.082,#3C8EA2,-17.252,-21.97,#368EA9,7.437,-13.249,#86809B,4.08,26.37,2.38,26.2
4,55.0,-31.599,13.501,#4A916B,-36.956,23.719,#479359,5.676,16.35,#987F68,11.54,37.38,4.99,27.74
5,55.0,-11.447,20.43,#7D8860,-2.506,29.236,#918351,21.314,21.688,#B2755F,12.55,32.79,9.38,28.57
6,55.0,-26.03,8.917,#548F73,-22.009,27.772,#6E8D52,2.849,-16.714,#7983A0,19.28,38.61,11.08,27.26
7,55.0,-14.505,-29.22,#288DB6,-12.631,-12.04,#5B8B98,12.632,-15.384,#8D7D9E,17.28,30.46,8.65,29.58
8,55.0,29.408,8.223,#B86F77,19.728,-2.763,#A37889,-2.75,18.112,#8B8464,14.64,33.64,8.35,28.84
9,55.0,-5.969,19.543,#868662,-3.131,32.705,#91844A,19.097,8.604,#A97776,13.46,27.35,7.09,27.66
10,55.0,23.686,9.59,#B07474,21.047,-3.008,#A57789,-6.439,16.991,#848666,12.87,31.02,8.35,30.01
11,55.0,3.404,32.972,#9B804A,-3.172,14.209,#88846B,18.146,-0.428,#A27985,19.88,36.51,11.17,27.96
12,55.0,7.745,38.341,#A37D40,-0.114,22.99,#92825C,34.933,13.205,#C16A6E,17.25,37.03,8.41,27.04
13,55.0,33.538,46.644,#C96A32,16.203,37.375,#AF7843,-5.227,44.865,#928432,19.66,38.81,8.84,25.77
14,55.0,21.86,-0.464,#A87685,32.062,-17.28,#AC70A2,-0.843,22.192,#90835D,19.67,32.07,10.14,28.65
15,55.0,-20.062,-3.98,#538E8A,-19.186,4.453,#608D7B,0.964,28.358,#968252,8.48,38.57,6.14,26.33
16,55.0,-17.865,-9.24,#518D93,-12.447,-5.217,#658A8C,20.231,-12.625,#9D789A,6.75,38.25,4.32,34.76
17,55.0,18.844,29.251,#B17652,9.68,41.214,#A77C3B,-14.518,37.845,#808940,15.07,34.45,10.17,25.9
18,55.0,-8.664,59.198,#908602,-14.522,46.685,#83892D,25.875,39.372,#BD7140,13.82,39.83,6.1,26.07
19,55.0,12.948,23.323,#A67B5C,-4.143,14.165,#86856B,-23.72,29.796,#6B8E4E,19.39,37.23,17.6,28.15
20,55.0,26.402,4.023,#B1727E,30.196,10.199,#BA6F73,17.251,40.841,#B2773C,7.25,37.94,4.05,25.19
21,55.0,13.79,19.799,#A67A62,27.074,6.393,#B3717A,-11.448,0.01,#6D8983,18.87,32.07,14.63,29.51
22,55.0,33.398,-20.826,#AC6FA8,22.684,-16.344,#9E77A0,1.387,-43.098,#4387CE,11.61,39.0,4.78,30.94
23,55.0,-19.406,35.863,#778C43,-29.012,36.499,#649041,16.442,38.165,#B07841,9.63,35.92,4.79,25.95
24,55.0,31.334,-22.559,#A771AB,18.195,-20.5,#927AA7,-1.254,-29.215,#5D87B6,13.3,33.26,6.58,25.49
25,55.0,-24.403,22.465,#658E5C,-34.953,26.085,#4F9255,15.379,25.986,#AB7957,11.15,39.94,4.43,31.01
26,55.0,-0.097,-27.895,#6286B4,13.256,-30.144,#7E7EB8,-1.64,11.968,#89846F,13.54,39.89,9.55,29.74
27,55.0,6.533,-55.341,#2586E4,10.915,-61.643,#1784EF,18.76,-17.895,#967AA3,7.68,39.39,1.24,27.28
28,55.0,-9.415,-39.189,#0D8CC7,7.447,-30.333,#7182B8,18.121,-26.224,#8C7BB1,19.05,30.44,15.29,26.55
