trial,L,ct_a,ct_b,ct_hex,CH_a,CH_b,CH_hex,CL_a,CL_b,CL_hex,dE_ct_CH,dE_ct_CL,dE00_ct_CH,dE00_ct_CL
1,55.0,43.124,-34.03,#B068BF,45.342,-44.877,#A967D2,13.32,-60.129,#3682EC,11.07,39.62,4.42,27.93
2,55.0,20.206,9.29,#AB7674,29.27,15.872,#BB6F6A,-10.369,13.774,#7B886C,11.2,30.9,5.18,32.69
3,55.0,21.123,12.088,#AD7670,17.43,25.666,#AD7758,-11.319,-0.338,#6D8984,14.07,34.74,10.17,34.84
4,55.0,-18.541,28.668,#758B51,-15.077,47.549,#83892B,15.174,16.988,#A77967,19.2,35.68,8.69,29.32
5,55.0,-16.873,-14.639,#4A8D9C,-14.331,-19.681,#488CA5,14.955,-15.868,#917C9F,5.65,31.85,3.73,30.32
6,55.0,-18.232,-11.234,#4C8D96,-11.722,-20.492,#4F8BA7,14.016,6.994,#A07B78,11.32,37.04,7.92,42.28
7,55.0,20.956,24.976,#B2755A,22.584,40.806,#B9733D,-10.139,24.889,#828858,15.91,31.09,7.44,25.76
8,55.0,-12.815,53.053,#88881C,-11.57,51.824,#8A8720,26.435,46.778,#BF7031,1.75,39.75,0.72,26.99
9,55.0,25.907,-25.174,#9C75AF,13.942,-13.315,#917C9B,13.921,-62.708,#2B82F1,16.85,39.4,7.65,25.46
10,55.0,6.23,-48.387,#4585D7,9.298,-50.001,#4C83DA,40.017,-27.424,#B16AB4,3.47,39.76,1.54,29.49
11,55.0,-7.888,58.682,#918506,-13.179,48.449,#868829,31.34,53.285,#C76C23,11.52,39.6,5.18,25.92
12,55.0,8.063,-17.531,#8280A2,-6.018,-26.856,#5389B2,-20.499,-4.805,#518E8B,16.89,31.27,17.11,25.94
13,55.0,31.328,-3.385,#B46F8A,25.097,-4.672,#AA748C,3.085,-27.892,#6A84B4,6.36,37.39,3.02,27.4
14,55.0,10.842,31.631,#A67C4D,6.731,45.587,#A47E32,-17.787,8.314,#678C75,14.55,36.92,7.04,27.43
15,55.0,17.951,-22.917,#907BAB,3.753,-36.69,#5C85C3,-9.771,-36.815,#208CC3,19.78,31.01,17.65,27.84
16,55.0,-0.392,-21.491,#6C86A8,-15.67,-13.975,#4F8C9B,-22.062,5.886,#5B8E79,17.03,34.92,13.62,25.09
17,55.0,27.038,-26.712,#9C75B2,45.111,-29.698,#B765B8,-10.11,-36.188,#218CC2,18.32,38.34,7.25,31.61
18,55.0,14.139,-12.053,#937C99,18.815,4.295,#A6787D,-15.301,-19.983,#448DA6,17.0,30.49,11.47,32.38
19,55.0,-1.059,56.926,#9B8211,8.188,58.159,#A87C0E,25.227,27.396,#B97256,9.33,39.53,6.05,25.08
20,55.0,-23.116,42.398,#738D36,-17.763,48.204,#7E8A29,12.464,27.103,#A77B55,7.9,38.73,4.32,25.97
21,55.0,-4.775,59.114,#968404,0.291,43.885,#9A8135,27.217,36.373,#BE7046,16.05,39.25,5.52,25.58
22,55.0,-15.14,-27.303,#2D8DB2,-8.299,-23.409,#538AAC,18.792,-18.875,#957AA4,7.87,34.96,4.61,31.69
23,55.0,41.085,39.639,#D16341,31.426,28.119,#C26D55,3.582,53.539,#A17F1E,15.03,40.0,4.77,26.65
24,55.0,-25.015,1.064,#4C8F81,-21.381,-6.879,#4A8E8F,10.741,-11.47,#8D7E98,8.74,37.89,6.19,32.13
25,55.0,11.006,37.386,#A87B42,24.822,48.912,#BE712C,28.481,3.123,#B4717F,17.99,38.46,7.88,27.68
26,55.0,20.324,1.191,#A67782,24.651,15.46,#B4736A,-15.528,7.418,#6B8B76,14.91,36.39,9.4,39.4
27,55.0,25.643,-29.862,#9676B8,17.327,-25.607,#8C7BB0,-4.747,-36.583,#3E89C3,9.34,31.12,4.08,25.15
28,55.0,-11.984,-17.83,#538BA2,-5.157,-33.162,#4789BD,22.044,-15.808,#9D779F,16.78,34.09,8.27,30.86
29,55.0,22.179,23.895,#B4745B,17.764,43.293,#B37637,-16.438,21.443,#748B5E,19.89,38.69,11.41,31.9
30,55.0,-6.019,-21.348,#5E88A8,-1.558,-12.094,#758598,-20.808,13.975,#668D6B,10.27,38.29,6.72,28.02
31,55.0,25.634,17.553,#B67267,19.92,19.187,#AF7664,-10.403,4.485,#73897C,5.94,38.33,4.07,34.65
32,55.0,33.478,3.397,#BB6C7F,45.79,-9.353,#C66295,11.595,36.476,#A87B44,17.72,39.66,8.04,28.55
33,55.0,-16.12,13.438,#6F8B6C,-9.919,22.293,#81885D,6.809,-8.054,#898092,10.81,31.43,7.82,26.07
34,55.0,-18.709,25.245,#728C57,-15.879,31.008,#7B8A4D,14.32,13.918,#A47A6C,6.42,34.92,3.77,30.45
35,55.0,-27.402,-13.184,#1C919A,-27.679,-4.693,#38918B,3.22,1.246,#8A8282,8.5,33.85,5.7,35.19
36,55.0,12.027,18.123,#A27B65,23.19,18.074,#B37466,-3.033,-13.864,#70869B,11.16,35.35,7.93,27.13
37,55.0,-5.105,-37.582,#398AC4,12.704,-35.08,#767FC0,23.543,-26.36,#9677B1,17.98,30.77,14.11,26.47
38,55.0,12.969,-37.024,#737FC4,11.317,-47.015,#5B82D5,35.257,-4.213,#BA6C8C,10.13,39.66,6.17,25.07
39,55.0,20.989,10.263,#AC7673,24.076,11.33,#B17371,4.007,-24.762,#7183AE,3.27,38.92,1.65,26.7
