sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
p,k,0,207,aCa/T01/apa.wav,aCa/T01/aka.wav,T01,us1,confusable
p,k,0,207,aCa/T02/apa.wav,aCa/T02/aka.wav,T02,us1,confusable
p,k,0,207,aCa/T03/apa.wav,aCa/T03/aka.wav,T03,us1,confusable
p,k,0,207,aCa/T04/apa.wav,aCa/T04/aka.wav,T04,us1,confusable
p,k,0,207,aCa/T05/apa.wav,aCa/T05/aka.wav,T05,us1,confusable
p,k,0,207,aCa/T06/apa.wav,aCa/T06/aka.wav,T06,us1,confusable
p,k,0,207,aCa/T07/apa.wav,aCa/T07/aka.wav,T07,us2,confusable
p,k,0,207,aCa/T08/apa.wav,aCa/T08/aka.wav,T08,us2,confusable
p,k,0,207,aCa/T09/apa.wav,aCa/T09/aka.wav,T09,us2,confusable
p,k,0,207,aCa/T10/apa.wav,aCa/T10/aka.wav,T10,us3,confusable
p,k,0,207,aCa/T11/apa.wav,aCa/T11/aka.wav,T11,us3,confusable
p,k,0,207,aCa/T12/apa.wav,aCa/T12/aka.wav,T12,us3,confusable
p,t,0,91,aCa/T01/apa.wav,aCa/T01/ata.wav,T01,us1,confusable
p,t,0,91,aCa/T02/apa.wav,aCa/T02/ata.wav,T02,us1,confusable
p,t,0,91,aCa/T03/apa.wav,aCa/T03/ata.wav,T03,us1,confusable
p,t,0,91,aCa/T04/apa.wav,aCa/T04/ata.wav,T04,us1,confusable
p,t,0,91,aCa/T05/apa.wav,aCa/T05/ata.wav,T05,us1,confusable
p,t,0,91,aCa/T06/apa.wav,aCa/T06/ata.wav,T06,us1,confusable
p,t,0,91,aCa/T07/apa.wav,aCa/T07/ata.wav,T07,us2,confusable
p,t,0,91,aCa/T08/apa.wav,aCa/T08/ata.wav,T08,us2,confusable
p,t,0,91,aCa/T09/apa.wav,aCa/T09/ata.wav,T09,us2,confusable
p,t,0,91,aCa/T10/apa.wav,aCa/T10/ata.wav,T10,us3,confusable
p,t,0,91,aCa/T11/apa.wav,aCa/T11/ata.wav,T11,us3,confusable
p,t,0,91,aCa/T12/apa.wav,aCa/T12/ata.wav,T12,us3,confusable
p,theta,0,30,aCa/T01/apa.wav,aCa/T01/athetaa.wav,T01,us1,confusable
p,theta,0,30,aCa/T02/apa.wav,aCa/T02/athetaa.wav,T02,us1,confusable
p,theta,0,30,aCa/T03/apa.wav,aCa/T03/athetaa.wav,T03,us1,confusable
p,theta,0,30,aCa/T04/apa.wav,aCa/T04/athetaa.wav,T04,us1,confusable
p,theta,0,30,aCa/T05/apa.wav,aCa/T05/athetaa.wav,T05,us1,confusable
p,theta,0,30,aCa/T06/apa.wav,aCa/T06/athetaa.wav,T06,us1,confusable
p,theta,0,30,aCa/T07/apa.wav,aCa/T07/athetaa.wav,T07,us2,confusable
p,theta,0,30,aCa/T08/apa.wav,aCa/T08/athetaa.wav,T08,us2,confusable
p,theta,0,30,aCa/T09/apa.wav,aCa/T09/athetaa.wav,T09,us2,confusable
p,theta,0,30,aCa/T10/apa.wav,aCa/T10/athetaa.wav,T10,us3,confusable
p,theta,0,30,aCa/T11/apa.wav,aCa/T11/athetaa.wav,T11,us3,confusable
p,theta,0,30,aCa/T12/apa.wav,aCa/T12/athetaa.wav,T12,us3,confusable
p,b,1,1,aCa/T01/apa.wav,aCa/T01/aba.wav,T01,us1,distinct
p,b,1,1,aCa/T02/apa.wav,aCa/T02/aba.wav,T02,us1,distinct
p,b,1,1,aCa/T03/apa.wav,aCa/T03/aba.wav,T03,us1,distinct
p,b,1,1,aCa/T04/apa.wav,aCa/T04/aba.wav,T04,us1,distinct
p,b,1,1,aCa/T05/apa.wav,aCa/T05/aba.wav,T05,us1,distinct
p,b,1,1,aCa/T06/apa.wav,aCa/T06/aba.wav,T06,us1,distinct
p,b,1,1,aCa/T07/apa.wav,aCa/T07/aba.wav,T07,us2,distinct
p,b,1,1,aCa/T08/apa.wav,aCa/T08/aba.wav,T08,us2,distinct
p,b,1,1,aCa/T09/apa.wav,aCa/T09/aba.wav,T09,us2,distinct
p,b,1,1,aCa/T10/apa.wav,aCa/T10/aba.wav,T10,us3,distinct
p,b,1,1,aCa/T11/apa.wav,aCa/T11/aba.wav,T11,us3,distinct
p,b,1,1,aCa/T12/apa.wav,aCa/T12/aba.wav,T12,us3,distinct
p,d,1,1,aCa/T01/apa.wav,aCa/T01/ada.wav,T01,us1,distinct
p,d,1,1,aCa/T02/apa.wav,aCa/T02/ada.wav,T02,us1,distinct
p,d,1,1,aCa/T03/apa.wav,aCa/T03/ada.wav,T03,us1,distinct
p,d,1,1,aCa/T04/apa.wav,aCa/T04/ada.wav,T04,us1,distinct
p,d,1,1,aCa/T05/apa.wav,aCa/T05/ada.wav,T05,us1,distinct
p,d,1,1,aCa/T06/apa.wav,aCa/T06/ada.wav,T06,us1,distinct
p,d,1,1,aCa/T07/apa.wav,aCa/T07/ada.wav,T07,us2,distinct
p,d,1,1,aCa/T08/apa.wav,aCa/T08/ada.wav,T08,us2,distinct
p,d,1,1,aCa/T09/apa.wav,aCa/T09/ada.wav,T09,us2,distinct
p,d,1,1,aCa/T10/apa.wav,aCa/T10/ada.wav,T10,us3,distinct
p,d,1,1,aCa/T11/apa.wav,aCa/T11/ada.wav,T11,us3,distinct
p,d,1,1,aCa/T12/apa.wav,aCa/T12/ada.wav,T12,us3,distinct
p,v,1,1,aCa/T01/apa.wav,aCa/T01/ava.wav,T01,us1,distinct
p,v,1,1,aCa/T02/apa.wav,aCa/T02/ava.wav,T02,us1,distinct
p,v,1,1,aCa/T03/apa.wav,aCa/T03/ava.wav,T03,us1,distinct
p,v,1,1,aCa/T04/apa.wav,aCa/T04/ava.wav,T04,us1,distinct
p,v,1,1,aCa/T05/apa.wav,aCa/T05/ava.wav,T05,us1,distinct
p,v,1,1,aCa/T06/apa.wav,aCa/T06/ava.wav,T06,us1,distinct
p,v,1,1,aCa/T07/apa.wav,aCa/T07/ava.wav,T07,us2,distinct
p,v,1,1,aCa/T08/apa.wav,aCa/T08/ava.wav,T08,us2,distinct
p,v,1,1,aCa/T09/apa.wav,aCa/T09/ava.wav,T09,us2,distinct
p,v,1,1,aCa/T10/apa.wav,aCa/T10/ava.wav,T10,us3,distinct
p,v,1,1,aCa/T11/apa.wav,aCa/T11/ava.wav,T11,us3,distinct
p,v,1,1,aCa/T12/apa.wav,aCa/T12/ava.wav,T12,us3,distinct
t,p,0,109,aCa/T01/ata.wav,aCa/T01/apa.wav,T01,us1,confusable
t,p,0,109,aCa/T02/ata.wav,aCa/T02/apa.wav,T02,us1,confusable
t,p,0,109,aCa/T03/ata.wav,aCa/T03/apa.wav,T03,us1,confusable
t,p,0,109,aCa/T04/ata.wav,aCa/T04/apa.wav,T04,us1,confusable
t,p,0,109,aCa/T05/ata.wav,aCa/T05/apa.wav,T05,us1,confusable
t,p,0,109,aCa/T06/ata.wav,aCa/T06/apa.wav,T06,us1,confusable
t,p,0,109,aCa/T07/ata.wav,aCa/T07/apa.wav,T07,us2,confusable
t,p,0,109,aCa/T08/ata.wav,aCa/T08/apa.wav,T08,us2,confusable
t,p,0,109,aCa/T09/ata.wav,aCa/T09/apa.wav,T09,us2,confusable
t,p,0,109,aCa/T10/ata.wav,aCa/T10/apa.wav,T10,us3,confusable
t,p,0,109,aCa/T11/ata.wav,aCa/T11/apa.wav,T11,us3,confusable
t,p,0,109,aCa/T12/ata.wav,aCa/T12/apa.wav,T12,us3,confusable
t,k,0,97,aCa/T01/ata.wav,aCa/T01/aka.wav,T01,us1,confusable
t,k,0,97,aCa/T02/ata.wav,aCa/T02/aka.wav,T02,us1,confusable
t,k,0,97,aCa/T03/ata.wav,aCa/T03/aka.wav,T03,us1,confusable
t,k,0,97,aCa/T04/ata.wav,aCa/T04/aka.wav,T04,us1,confusable
t,k,0,97,aCa/T05/ata.wav,aCa/T05/aka.wav,T05,us1,confusable
t,k,0,97,aCa/T06/ata.wav,aCa/T06/aka.wav,T06,us1,confusable
t,k,0,97,aCa/T07/ata.wav,aCa/T07/aka.wav,T07,us2,confusable
t,k,0,97,aCa/T08/ata.wav,aCa/T08/aka.wav,T08,us2,confusable
t,k,0,97,aCa/T09/ata.wav,aCa/T09/aka.wav,T09,us2,confusable
t,k,0,97,aCa/T10/ata.wav,aCa/T10/aka.wav,T10,us3,confusable
t,k,0,97,aCa/T11/ata.wav,aCa/T11/aka.wav,T11,us3,confusable
t,k,0,97,aCa/T12/ata.wav,aCa/T12/aka.wav,T12,us3,confusable
t,theta,0,9,aCa/T01/ata.wav,aCa/T01/athetaa.wav,T01,us1,confusable
t,theta,0,9,aCa/T02/ata.wav,aCa/T02/athetaa.wav,T02,us1,confusable
t,theta,0,9,aCa/T03/ata.wav,aCa/T03/athetaa.wav,T03,us1,confusable
t,theta,0,9,aCa/T04/ata.wav,aCa/T04/athetaa.wav,T04,us1,confusable
t,theta,0,9,aCa/T05/ata.wav,aCa/T05/athetaa.wav,T05,us1,confusable
t,theta,0,9,aCa/T06/ata.wav,aCa/T06/athetaa.wav,T06,us1,confusable
t,theta,0,9,aCa/T07/ata.wav,aCa/T07/athetaa.wav,T07,us2,confusable
t,theta,0,9,aCa/T08/ata.wav,aCa/T08/athetaa.wav,T08,us2,confusable
t,theta,0,9,aCa/T09/ata.wav,aCa/T09/athetaa.wav,T09,us2,confusable
t,theta,0,9,aCa/T10/ata.wav,aCa/T10/athetaa.wav,T10,us3,confusable
t,theta,0,9,aCa/T11/ata.wav,aCa/T11/athetaa.wav,T11,us3,confusable
t,theta,0,9,aCa/T12/ata.wav,aCa/T12/athetaa.wav,T12,us3,confusable
t,g,1,1,aCa/T01/ata.wav,aCa/T01/aga.wav,T01,us1,distinct
t,g,1,1,aCa/T02/ata.wav,aCa/T02/aga.wav,T02,us1,distinct
t,g,1,1,aCa/T03/ata.wav,aCa/T03/aga.wav,T03,us1,distinct
t,g,1,1,aCa/T04/ata.wav,aCa/T04/aga.wav,T04,us1,distinct
t,g,1,1,aCa/T05/ata.wav,aCa/T05/aga.wav,T05,us1,distinct
t,g,1,1,aCa/T06/ata.wav,aCa/T06/aga.wav,T06,us1,distinct
t,g,1,1,aCa/T07/ata.wav,aCa/T07/aga.wav,T07,us2,distinct
t,g,1,1,aCa/T08/ata.wav,aCa/T08/aga.wav,T08,us2,distinct
t,g,1,1,aCa/T09/ata.wav,aCa/T09/aga.wav,T09,us2,distinct
t,g,1,1,aCa/T10/ata.wav,aCa/T10/aga.wav,T10,us3,distinct
t,g,1,1,aCa/T11/ata.wav,aCa/T11/aga.wav,T11,us3,distinct
t,g,1,1,aCa/T12/ata.wav,aCa/T12/aga.wav,T12,us3,distinct
t,eth,1,1,aCa/T01/ata.wav,aCa/T01/aetha.wav,T01,us1,distinct
t,eth,1,1,aCa/T02/ata.wav,aCa/T02/aetha.wav,T02,us1,distinct
t,eth,1,1,aCa/T03/ata.wav,aCa/T03/aetha.wav,T03,us1,distinct
t,eth,1,1,aCa/T04/ata.wav,aCa/T04/aetha.wav,T04,us1,distinct
t,eth,1,1,aCa/T05/ata.wav,aCa/T05/aetha.wav,T05,us1,distinct
t,eth,1,1,aCa/T06/ata.wav,aCa/T06/aetha.wav,T06,us1,distinct
t,eth,1,1,aCa/T07/ata.wav,aCa/T07/aetha.wav,T07,us2,distinct
t,eth,1,1,aCa/T08/ata.wav,aCa/T08/aetha.wav,T08,us2,distinct
t,eth,1,1,aCa/T09/ata.wav,aCa/T09/aetha.wav,T09,us2,distinct
t,eth,1,1,aCa/T10/ata.wav,aCa/T10/aetha.wav,T10,us3,distinct
t,eth,1,1,aCa/T11/ata.wav,aCa/T11/aetha.wav,T11,us3,distinct
t,eth,1,1,aCa/T12/ata.wav,aCa/T12/aetha.wav,T12,us3,distinct
t,z,1,1,aCa/T01/ata.wav,aCa/T01/aza.wav,T01,us1,distinct
t,z,1,1,aCa/T02/ata.wav,aCa/T02/aza.wav,T02,us1,distinct
t,z,1,1,aCa/T03/ata.wav,aCa/T03/aza.wav,T03,us1,distinct
t,z,1,1,aCa/T04/ata.wav,aCa/T04/aza.wav,T04,us1,distinct
t,z,1,1,aCa/T05/ata.wav,aCa/T05/aza.wav,T05,us1,distinct
t,z,1,1,aCa/T06/ata.wav,aCa/T06/aza.wav,T06,us1,distinct
t,z,1,1,aCa/T07/ata.wav,aCa/T07/aza.wav,T07,us2,distinct
t,z,1,1,aCa/T08/ata.wav,aCa/T08/aza.wav,T08,us2,distinct
t,z,1,1,aCa/T09/ata.wav,aCa/T09/aza.wav,T09,us2,distinct
t,z,1,1,aCa/T10/ata.wav,aCa/T10/aza.wav,T10,us3,distinct
t,z,1,1,aCa/T11/ata.wav,aCa/T11/aza.wav,T11,us3,distinct
t,z,1,1,aCa/T12/ata.wav,aCa/T12/aza.wav,T12,us3,distinct
k,p,0,190,aCa/T01/aka.wav,aCa/T01/apa.wav,T01,us1,confusable
k,p,0,190,aCa/T02/aka.wav,aCa/T02/apa.wav,T02,us1,confusable
k,p,0,190,aCa/T03/aka.wav,aCa/T03/apa.wav,T03,us1,confusable
k,p,0,190,aCa/T04/aka.wav,aCa/T04/apa.wav,T04,us1,confusable
k,p,0,190,aCa/T05/aka.wav,aCa/T05/apa.wav,T05,us1,confusable
k,p,0,190,aCa/T06/aka.wav,aCa/T06/apa.wav,T06,us1,confusable
k,p,0,190,aCa/T07/aka.wav,aCa/T07/apa.wav,T07,us2,confusable
