sound,confused,target,count
p,0,k,207
p,0,t,91
p,0,theta,30
p,1,b,1
p,1,d,1
p,1,v,1
t,0,p,109
t,0,k,97
t,0,theta,9
t,1,g,1
t,1,eth,1
t,1,z,1
k,0,p,190
k,0,t,127
k,0,f,17
k,1,n,3
k,1,g,1
k,1,z,1
f,0,theta,151
f,0,p,27
f,0,s,18
f,1,sh,1
f,1,g,1
f,1,n,1
theta,0,f,260
theta,0,s,45
theta,0,p,35
theta,1,d,4
theta,1,m,1
theta,1,n,1
s,0,theta,84
s,0,sh,57
s,0,f,29
s,1,zh,2
s,1,eth,1
s,1,n,1
sh,0,s,56
sh,0,theta,9
sh,0,t,7
sh,1,f,4
sh,1,p,1
sh,1,m,1
b,0,v,81
b,0,eth,74
b,0,z,19
b,1,n,4
b,1,zh,3
b,1,p,1
d,0,g,107
d,0,zh,39
d,0,eth,33
d,1,b,12
d,1,theta,3
d,1,n,3
g,0,v,197
g,0,d,148
g,0,zh,83
g,1,s,2
g,1,theta,1
g,1,m,1
v,0,eth,379
v,0,z,88
v,0,d,81
v,1,m,7
v,1,n,4
v,1,s,2
eth,0,z,255
eth,0,v,81
eth,0,zh,44
eth,1,f,1
eth,1,theta,1
eth,1,s,1
z,0,zh,242
z,0,eth,162
z,0,v,48
z,1,p,1
z,1,s,1
z,1,sh,1
zh,0,z,451
zh,0,d,31
zh,0,g,25
zh,1,s,1
zh,1,sh,1
zh,1,b,1
m,0,n,54
m,0,b,5
m,0,s,4
m,1,p,1
m,1,theta,1
m,1,z,1
n,0,m,57
n,0,z,7
n,0,d,5
n,1,b,3
n,1,g,2
n,1,zh,1
