category,item,hue_deg,C_star,L_star,hex,hsv,hsl,Lab
A,1,270.0,25.62,59.48,#7291BC,"214.6,39.3,73.7","214.6,35.5,59.2","59.48,-0.00,-25.62"
A,2,270.0,19.64,25.51,#263E5A,"212.3,58.0,35.3","212.3,40.9,25.1","25.51,-0.00,-19.64"
A,3,270.0,35.26,33.99,#065388,"204.5,95.4,53.3","204.5,91.2,27.9","33.99,-0.00,-35.26"
A,4,270.0,18.18,43.34,#546884,"215.1,36.8,51.8","215.1,22.5,42.3","43.34,-0.00,-18.18"
A,5,270.0,22.25,47.34,#587295,"214.4,41.3,58.6","214.4,26.0,46.5","47.34,-0.00,-22.25"
A,6,270.0,9.33,7.74,#0F1823,"213.7,58.7,13.8","213.7,41.5,9.8","7.74,-0.00,-9.33"
A,7,270.0,16.58,13.52,#0E243A,"210.3,74.9,22.6","210.3,59.8,14.1","13.52,-0.00,-16.58"
A,8,270.0,11.62,41.93,#586476,"216.6,25.1,46.2","216.6,14.4,40.4","41.93,-0.00,-11.62"
A,9,270.0,34.8,53.77,#5184BC,"211.8,56.9,73.8","211.8,44.5,52.8","53.77,-0.00,-34.80"
A,10,270.0,21.27,20.36,#153350,"209.7,74.2,31.4","209.7,59.0,19.8","20.36,-0.00,-21.27"
B,1,270.0,36.09,46.91,#3972AC,"210.0,66.7,67.3","210.0,50.1,44.9","46.91,-0.00,-36.09"
B,2,270.0,16.79,64.28,#8B9DB9,"216.5,25.1,72.7","216.5,25.1,63.6","64.28,-0.00,-16.79"
B,3,270.0,16.18,68.25,#96A8C3,"216.8,23.1,76.6","216.8,27.4,67.7","68.25,-0.00,-16.18"
B,4,270.0,40.1,61.67,#5B99DC,"211.4,58.4,86.1","211.4,64.4,61.0","61.67,-0.00,-40.10"
B,5,270.0,19.68,77.9,#ACC2E5,"216.5,24.8,89.7","216.5,51.9,78.5","77.90,-0.00,-19.68"
B,6,270.0,25.29,72.21,#95B3DF,"215.4,33.2,87.4","215.4,53.5,72.9","72.21,-0.00,-25.29"
B,7,270.0,37.65,74.66,#87BBFD,"213.4,46.6,99.0","213.4,95.9,75.9","74.66,-0.00,-37.65"
B,8,270.0,34.57,67.35,#78A7E2,"213.4,46.9,88.6","213.4,64.5,67.8","67.35,-0.00,-34.57"
B,9,270.0,47.7,58.33,#3691E0,"207.9,75.9,87.7","207.9,73.0,54.4","58.33,-0.00,-47.70"
B,10,270.0,34.78,68.97,#7CABE7,"213.5,46.2,90.5","213.5,68.8,69.6","68.97,-0.00,-34.78"
