trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file,thisN,thisTrialN,thisRepN,ResponseBox.keys,ResponseBox.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,inner.thisRepN,inner.thisTrialN,inner.thisN,inner.thisIndex,thisRow.t,notes,piloting,studyintro.started,intro.started,confirm.started,studyintro.stopped,confirm.keys,confirm.rt,confirm.duration,practice_intro.started,prac_intro.started,key_resp_2.started,practice_intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,study_stage.started,Fix.started,stim1.started,Fix.stopped,stim1.stopped,stim2.started,stim2.stopped,audi1.started,audi1.stopped,audi2.started,audi2.stopped,study_stage.stopped,probe.started,Fixation.started,Fixation.stopped,targetV.started,targetA.started,targetA.stopped,targetV.stopped,probe.stopped,ResponseBox.duration,condition,TargetA,TargetC,inner.ResponseBox.keys,feedback.started,answer.started,feedback.stopped,Acc,inner.ResponseBox.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.001658499997574836,0.004747399972984567,0.004747399972984567,2.4568958999880124,space,2.4412818999844603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4569370999815874,2.4712861999869347,2.4712861999869347,3.4891937999927904,space,1.0039756000041962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,0,0,0,None,,0,0,0,4,0,0,0,0,7.6710530999989714,,,,,,,,,,,,,,,,,3.5342744999798015,3.5393800999736413,3.804565799975535,3.8546345999930054,4.804731499985792,4.804731499985792,5.804875399975572,5.804846666640757,6.688176299998304,6.805177166654418,7.6710530999989714,7.658565099991392,7.66824909998104,7.80538209999213,8.10420809997595,8.10420809997595,8.104591166662674,8.987351899995701,9.136497299972689,11.090534099988872,no_response,7,stimuli/T08_ava.wav,#009656,None,11.094983399991179,11.107078099972568,12.09230999997817,0,,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,1,0,1,n,0.5356331999937538,0,0,0,4,1,0,1,0,12.11307009999291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.109229399997275,12.11307009999291,12.422916399984388,12.389623999973992,12.389629066663717,13.190907399985008,13.390222999994876,13.924795499973698,no_response,5,stimuli/T12_ada.wav,#00957A,n,13.933491299976595,13.961550199979683,14.93810709999525,1,0.5356331999937538,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,2,0,2,y,0.43168310000328347,0,0,0,4,2,0,2,0,14.954207799979486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.949471899977652,14.954207799979486,15.25486329998239,15.237729699991178,15.23815946665515,16.104610199981835,16.237525899981847,16.655232199991588,no_response,1,stimuli/T08_ava.wav,#00957A,y,16.65544649999356,16.699949499976356,17.671773799986113,1,0.43168310000328347,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,3,0,3,y,0.6451421999954619,0,0,0,4,3,0,3,0,17.687629299995024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.682323599990923,17.687629299995024,17.98769679997349,17.971419099980267,17.971208066654313,18.85461569999461,18.97128800000064,19.588352599996142,no_response,13,stimuli/T08_ava.wav,#079467,y,19.59270199999446,19.632620099990163,20.604213499987964,0,0.6451421999954619,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,4,0,4,n,0.28106699997442774,0,0,0,4,4,0,4,0,20.621102999983123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.612568499986082,20.621102999983123,20.92124719999265,20.887953299999936,20.887903666651496,21.75421600000118,21.88764239999,22.15461579998373,no_response,0,stimuli/T08_aetha.wav,#4674BE,n,22.15478039998561,22.199491199979093,23.170767599978717,0,0.28106699997442774,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,5,0,5,y,0.7626118999905884,0,0,0,4,5,0,5,0,23.187018500000704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.177579999988666,23.187018500000704,23.48737170000095,23.454326999984914,23.453879066659525,24.370427299989387,24.453989099973114,25.2044206999999,no_response,2,stimuli/T03_athetaa.wav,#4674BE,y,25.204535400000168,25.257173799996963,26.221055599977262,0,0.7626118999905884,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
5,#4674BE,#E4C4FF,#487FE6,41.11,16.58,38.26,#00957A,#009656,#079467,28.58,15.26,32.12,eth,theta,zh,1,44,T08,T03,T01,stimuli/T08_aetha.wav,stimuli/T03_athetaa.wav,stimuli/T01_azha.wav,v,n,d,4,81,T08,T06,T12,stimuli/T08_ava.wav,stimuli/T06_ana.wav,stimuli/T12_ada.wav,6,0,6,None,,0,0,0,4,6,0,6,0,26.237175599992042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.229901999991853,26.237175599992042,26.537328599981265,26.503788399975747,26.50375056665895,27.37059359997511,27.524260299978778,29.52116499998374,no_response,6,stimuli/T08_aetha.wav,#E4C4FF,None,29.521370199974626,29.537335000000894,30.52046099997824,0,,817499,001,2026-04-30_07h19.27.651,VAWM,,2026.1.3,59.95477011902263,2026-04-30 07h19.31.907443 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,,,,,7,0,7,0,30.53696719999425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.52279359998647,30.53696719999425,,,,,,,,,,,,,,,,,,,,,,,,,
