trial,target,H,L,H_count,L_count,talker,target_file,H_file,L_file
1,zh,b,z,1,451,T03,T03_azha.wav,T03_aba.wav,T03_aza.wav
2,zh,sh,d,1,31,T02,T02_azha.wav,T02_asha.wav,T02_ada.wav
3,g,s,v,2,197,T12,T12_aga.wav,T12_asa.wav,T12_ava.wav
4,s,n,sh,1,57,T12,T12_asa.wav,T12_ana.wav,T12_asha.wav
5,g,s,v,2,197,T08,T08_aga.wav,T08_asa.wav,T08_ava.wav
6,t,z,p,1,109,T09,T09_ata.wav,T09_aza.wav,T09_apa.wav
7,s,eth,theta,1,84,T09,T09_asa.wav,T09_aetha.wav,T09_athetaa.wav
8,f,n,s,1,18,T08,T08_afa.wav,T08_ana.wav,T08_asa.wav
9,eth,s,v,1,81,T01,T01_aetha.wav,T01_asa.wav,T01_ava.wav
10,eth,s,z,1,255,T12,T12_aetha.wav,T12_asa.wav,T12_aza.wav
11,b,p,v,1,81,T06,T06_aba.wav,T06_apa.wav,T06_ava.wav
12,zh,s,g,1,25,T09,T09_azha.wav,T09_asa.wav,T09_aga.wav
13,theta,m,s,1,45,T03,T03_athetaa.wav,T03_ama.wav,T03_asa.wav
14,s,n,theta,1,84,T07,T07_asa.wav,T07_ana.wav,T07_athetaa.wav
15,n,b,m,3,57,T02,T02_ana.wav,T02_aba.wav,T02_ama.wav
16,f,n,p,1,27,T11,T11_afa.wav,T11_ana.wav,T11_apa.wav
17,eth,s,z,1,255,T11,T11_aetha.wav,T11_asa.wav,T11_aza.wav
18,g,s,zh,2,83,T02,T02_aga.wav,T02_asa.wav,T02_azha.wav
19,p,d,k,1,207,T05,T05_apa.wav,T05_ada.wav,T05_aka.wav
20,k,g,p,1,190,T04,T04_aka.wav,T04_aga.wav,T04_apa.wav
21,eth,s,v,1,81,T06,T06_aetha.wav,T06_asa.wav,T06_ava.wav
22,t,z,theta,1,9,T11,T11_ata.wav,T11_aza.wav,T11_athetaa.wav
23,s,n,theta,1,84,T09,T09_asa.wav,T09_ana.wav,T09_athetaa.wav
24,b,zh,z,3,19,T04,T04_aba.wav,T04_azha.wav,T04_aza.wav
25,d,b,eth,12,33,T09,T09_ada.wav,T09_aba.wav,T09_aetha.wav
26,theta,d,p,4,35,T09,T09_athetaa.wav,T09_ada.wav,T09_apa.wav
27,n,g,d,2,5,T05,T05_ana.wav,T05_aga.wav,T05_ada.wav
28,sh,f,s,4,56,T02,T02_asha.wav,T02_afa.wav,T02_asa.wav
29,d,b,g,12,107,T01,T01_ada.wav,T01_aba.wav,T01_aga.wav
30,t,z,k,1,97,T05,T05_ata.wav,T05_aza.wav,T05_aka.wav
31,z,sh,v,1,48,T06,T06_aza.wav,T06_asha.wav,T06_ava.wav
32,zh,s,g,1,25,T08,T08_azha.wav,T08_asa.wav,T08_aga.wav
33,n,zh,m,1,57,T03,T03_ana.wav,T03_azha.wav,T03_ama.wav
34,v,s,z,2,88,T04,T04_ava.wav,T04_asa.wav,T04_aza.wav
35,eth,s,z,1,255,T01,T01_aetha.wav,T01_asa.wav,T01_aza.wav
36,d,n,g,3,107,T05,T05_ada.wav,T05_ana.wav,T05_aga.wav
37,zh,s,z,1,451,T01,T01_azha.wav,T01_asa.wav,T01_aza.wav
38,zh,b,z,1,451,T08,T08_azha.wav,T08_aba.wav,T08_aza.wav
39,m,z,n,1,54,T01,T01_ama.wav,T01_aza.wav,T01_ana.wav
40,b,n,z,4,19,T12,T12_aba.wav,T12_ana.wav,T12_aza.wav
41,g,m,d,1,148,T02,T02_aga.wav,T02_ama.wav,T02_ada.wav
42,sh,m,s,1,56,T07,T07_asha.wav,T07_ama.wav,T07_asa.wav
43,sh,m,theta,1,9,T12,T12_asha.wav,T12_ama.wav,T12_athetaa.wav
44,d,n,g,3,107,T07,T07_ada.wav,T07_ana.wav,T07_aga.wav
45,v,m,z,7,88,T04,T04_ava.wav,T04_ama.wav,T04_aza.wav
46,g,theta,d,1,148,T12,T12_aga.wav,T12_athetaa.wav,T12_ada.wav
47,z,p,eth,1,162,T11,T11_aza.wav,T11_apa.wav,T11_aetha.wav
48,zh,b,d,1,31,T11,T11_azha.wav,T11_aba.wav,T11_ada.wav
49,eth,theta,v,1,81,T02,T02_aetha.wav,T02_athetaa.wav,T02_ava.wav
50,d,n,eth,3,33,T05,T05_ada.wav,T05_ana.wav,T05_aetha.wav
51,k,z,p,1,190,T06,T06_aka.wav,T06_aza.wav,T06_apa.wav
52,d,theta,g,3,107,T05,T05_ada.wav,T05_athetaa.wav,T05_aga.wav
