trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
1,#0085BA,#0056AD,#3C95D3,30.74,21.13,41.16,#B871C1,#D9DAFF,#9836A2,46.54,23.71,60.9,p,d,theta,1,30,T03,T03,T03,stimuli/T03_apa.wav,stimuli/T03_ada.wav,stimuli/T03_athetaa.wav,m,theta,n,1,54,T07,T07,T07,stimuli/T07_ama.wav,stimuli/T07_athetaa.wav,stimuli/T07_ana.wav
2,#D75295,#D8A9C2,#FF62B1,42.36,15.9,49.31,#409961,#E4D898,#429A3F,46.55,18.51,49.84,m,p,n,1,54,T11,T11,T11,stimuli/T11_ama.wav,stimuli/T11_apa.wav,stimuli/T11_ana.wav,g,s,d,2,148,T12,T12,T12,stimuli/T12_aga.wav,stimuli/T12_asa.wav,stimuli/T12_ada.wav
3,#CD6A82,#A46ECA,#BC7399,44.38,15.18,31.34,#008E97,#00867B,#006067,26.53,17.69,30.45,b,p,eth,1,74,T03,T03,T03,stimuli/T03_aba.wav,stimuli/T03_apa.wav,stimuli/T03_aetha.wav,g,theta,zh,1,83,T04,T04,T04,stimuli/T04_aga.wav,stimuli/T04_athetaa.wav,stimuli/T04_azha.wav
4,#D16D8B,#FFB4A4,#E984BE,32.83,18.05,40.85,#567612,#7A6437,#356300,33.88,22.4,52.45,b,n,v,4,81,T11,T11,T11,stimuli/T11_aba.wav,stimuli/T11_ana.wav,stimuli/T11_ava.wav,sh,m,t,1,7,T12,T12,T12,stimuli/T12_asha.wav,stimuli/T12_ama.wav,stimuli/T12_ata.wav
5,#B6404C,#740011,#77231A,34.15,22.28,33.81,#795493,#002955,#8D6BD0,37.74,22.48,52.87,b,p,eth,1,74,T02,T02,T02,stimuli/T02_aba.wav,stimuli/T02_apa.wav,stimuli/T02_aetha.wav,p,v,theta,1,30,T11,T11,T11,stimuli/T11_apa.wav,stimuli/T11_ava.wav,stimuli/T11_athetaa.wav
6,#BA5D67,#7C2C0B,#C66E97,33.25,19.69,52.14,#AA683E,#ABAAA6,#B76313,43.59,21.3,62.56,s,eth,sh,1,57,T03,T03,T03,stimuli/T03_asa.wav,stimuli/T03_aetha.wav,stimuli/T03_asha.wav,n,zh,d,1,5,T12,T12,T12,stimuli/T12_ana.wav,stimuli/T12_azha.wav,stimuli/T12_ada.wav
7,#BE6150,#AB6E9B,#C2815D,41.18,17.17,44.94,#B47B43,#AC3800,#755B32,35.92,22.82,47.92,eth,f,z,1,255,T01,T01,T01,stimuli/T01_aetha.wav,stimuli/T01_afa.wav,stimuli/T01_aza.wav,n,zh,z,1,7,T03,T03,T03,stimuli/T03_ana.wav,stimuli/T03_azha.wav,stimuli/T03_aza.wav
8,#0096C8,#006FAC,#5BB1D6,25.5,21.74,47.08,#6169B7,#007BFF,#7C55A9,47.98,15.82,50.42,b,zh,eth,3,74,T03,T03,T03,stimuli/T03_aba.wav,stimuli/T03_azha.wav,stimuli/T03_aetha.wav,zh,b,z,1,451,T04,T04,T04,stimuli/T04_azha.wav,stimuli/T04_aba.wav,stimuli/T04_aza.wav
9,#DA6E5F,#7F4C3B,#F67C54,31.16,16.49,43.8,#BC587F,#A70064,#7E0F44,30.81,23.97,24.07,eth,theta,v,1,81,T11,T11,T11,stimuli/T11_aetha.wav,stimuli/T11_athetaa.wav,stimuli/T11_ava.wav,d,n,g,3,107,T12,T12,T12,stimuli/T12_ada.wav,stimuli/T12_ana.wav,stimuli/T12_aga.wav
10,#0068C9,#44415F,#6870D9,42.79,15.05,46.74,#9C6E00,#A77000,#954500,32.73,23.83,45.84,n,b,z,3,7,T06,T06,T06,stimuli/T06_ana.wav,stimuli/T06_aba.wav,stimuli/T06_aza.wav,g,theta,zh,1,83,T07,T07,T07,stimuli/T07_aga.wav,stimuli/T07_athetaa.wav,stimuli/T07_azha.wav
11,#716D00,#60AA00,#557C00,49.08,22.74,28.9,#75931F,#896900,#93BA5F,48.62,18.42,63.16,d,theta,g,3,107,T03,T03,T03,stimuli/T03_ada.wav,stimuli/T03_athetaa.wav,stimuli/T03_aga.wav,d,n,zh,3,39,T04,T04,T04,stimuli/T04_ada.wav,stimuli/T04_ana.wav,stimuli/T04_azha.wav
12,#0078A6,#00959B,#00708B,46.49,15.52,33.93,#C86538,#752B13,#B94C41,28.39,17.04,22.21,b,n,z,4,19,T01,T01,T01,stimuli/T01_aba.wav,stimuli/T01_ana.wav,stimuli/T01_aza.wav,f,g,p,1,27,T04,T04,T04,stimuli/T04_afa.wav,stimuli/T04_aga.wav,stimuli/T04_apa.wav
13,#746600,#484F00,#4F4E00,27.27,15.76,32.56,#9F3C86,#792734,#D64EB4,37.57,20.55,54.15,eth,theta,zh,1,44,T10,T10,T10,stimuli/T10_aetha.wav,stimuli/T10_athetaa.wav,stimuli/T10_azha.wav,d,n,eth,3,33,T05,T05,T05,stimuli/T05_ada.wav,stimuli/T05_ana.wav,stimuli/T05_aetha.wav
14,#B06616,#916C5D,#CB4E00,40.67,24.91,60.1,#BF5873,#4F4C74,#FE7880,45.89,22.91,67.03,f,n,p,1,27,T12,T12,T12,stimuli/T12_afa.wav,stimuli/T12_ana.wav,stimuli/T12_apa.wav,t,eth,p,1,109,T01,T01,T01,stimuli/T01_ata.wav,stimuli/T01_aetha.wav,stimuli/T01_apa.wav
15,#6A5CA9,#9F9DFF,#B984CE,45.63,23.23,43.66,#E65D93,#DE8F92,#D2006F,32.24,21.0,50.95,p,d,t,1,91,T08,T08,T08,stimuli/T08_apa.wav,stimuli/T08_ada.wav,stimuli/T08_ata.wav,f,sh,p,1,27,T02,T02,T02,stimuli/T02_afa.wav,stimuli/T02_asha.wav,stimuli/T02_apa.wav
