trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,audio_target,audio_H,audio_L,audio_H_count,audio_L_count,audio_target_talker,audio_H_talker,audio_L_talker,audio_target_file,audio_H_file,audio_L_file
1,#00A48A,#00605B,#008E80,36.5,10.38,#D56C94,#F83BA8,#E986BB,34.3,12.69,zh,b,d,1,31,T12,T06,T02,stimuli/T12_azha.wav,stimuli/T06_aba.wav,stimuli/T02_ada.wav
2,#0087A1,#0095AB,#10879D,31.75,10.84,#AB3469,#6B0025,#C3587B,25.57,12.97,b,zh,eth,3,74,T07,T03,T06,stimuli/T07_aba.wav,stimuli/T03_azha.wav,stimuli/T06_aetha.wav
3,#0098AC,#00C5C8,#00778C,18.94,12.56,#6C6FD6,#494A93,#7158B7,21.49,11.66,m,p,n,1,54,T12,T11,T03,stimuli/T12_ama.wav,stimuli/T11_apa.wav,stimuli/T03_ana.wav
4,#B6425C,#A73D38,#B23057,17.31,6.72,#748B26,#756D05,#8F9A33,17.97,8.57,f,g,s,1,18,T12,T02,T11,stimuli/T12_afa.wav,stimuli/T02_aga.wav,stimuli/T11_asa.wav
5,#A28F1B,#A8AA00,#A08529,21.05,9.36,#0DA074,#59BD66,#00B573,25.02,14.9,t,eth,p,1,109,T06,T01,T12,stimuli/T06_ata.wav,stimuli/T01_aetha.wav,stimuli/T12_apa.wav
6,#B34632,#DA6936,#8A3214,19.23,13.75,#7069C4,#E796FC,#8C76CD,33.25,8.03,k,g,f,1,17,T04,T01,T06,stimuli/T04_aka.wav,stimuli/T01_aga.wav,stimuli/T06_afa.wav
7,#6F58B9,#A6B7FF,#615DC5,38.95,6.38,#366E24,#6E8A52,#44661D,19.68,8.68,z,p,v,1,48,T02,T05,T01,stimuli/T02_aza.wav,stimuli/T05_apa.wav,stimuli/T01_ava.wav
8,#63982E,#3EAF45,#74911E,19.26,10.53,#3C7FD9,#006FDA,#0090E9,19.02,9.68,v,n,eth,4,379,T12,T08,T01,stimuli/T12_ava.wav,stimuli/T08_ana.wav,stimuli/T01_aetha.wav
9,#7B7518,#3E3500,#A28E33,26.83,12.15,#007FAB,#002B4D,#007DB6,34.95,9.14,v,m,eth,7,379,T03,T09,T01,stimuli/T03_ava.wav,stimuli/T09_ama.wav,stimuli/T01_aetha.wav
10,#007BC4,#31BCEC,#007CCF,29.81,8.39,#009C83,#2CF8DF,#008166,32.26,12.82,eth,s,v,1,81,T03,T04,T08,stimuli/T03_aetha.wav,stimuli/T04_asa.wav,stimuli/T08_ava.wav
11,#BB843A,#FFA24C,#D0925A,39.73,10.8,#0064BB,#3293FC,#567EDA,19.95,14.43,zh,sh,z,1,451,T10,T03,T01,stimuli/T10_azha.wav,stimuli/T03_asha.wav,stimuli/T01_aza.wav
12,#008CD1,#7C9AFF,#0081D0,39.09,7.66,#00709A,#00518A,#006898,18.04,7.73,zh,b,d,1,31,T10,T04,T05,stimuli/T10_azha.wav,stimuli/T04_aba.wav,stimuli/T05_ada.wav
13,#0C7B3D,#009A5D,#368140,24.16,6.73,#5360BD,#001D67,#6F65C6,33.22,7.27,f,sh,s,1,18,T08,T07,T10,stimuli/T08_afa.wav,stimuli/T07_asha.wav,stimuli/T10_asa.wav
14,#0079CA,#004E74,#368AD6,34.18,7.95,#9F3B73,#830076,#874371,25.93,13.1,t,g,theta,1,9,T12,T08,T07,stimuli/T12_ata.wav,stimuli/T08_aga.wav,stimuli/T07_athetaa.wav
15,#3C7123,#0E6847,#306016,25.26,7.0,#D0457E,#FFA3FA,#A4195D,39.66,14.51,f,sh,s,1,18,T09,T05,T04,stimuli/T09_afa.wav,stimuli/T05_asha.wav,stimuli/T04_asa.wav
16,#9B4D10,#971929,#814600,32.11,11.56,#2A86C7,#00BBF9,#3173AD,24.27,8.52,n,g,z,2,7,T10,T09,T07,stimuli/T10_ana.wav,stimuli/T09_aga.wav,stimuli/T07_aza.wav
17,#6456B4,#2C3AC0,#8C57C2,28.12,14.02,#008DB1,#009BA0,#0083AB,21.02,6.82,m,p,b,1,5,T08,T07,T04,stimuli/T08_ama.wav,stimuli/T07_apa.wav,stimuli/T04_aba.wav
18,#C7484B,#840D00,#B92F3C,32.15,7.65,#006DD0,#95A5F3,#3482E4,29.54,8.69,n,zh,d,1,5,T01,T12,T10,stimuli/T01_ana.wav,stimuli/T12_azha.wav,stimuli/T10_ada.wav
19,#0068BD,#779EFF,#006FB2,38.85,13.14,#C46C96,#DA9899,#E4679D,25.84,14.63,p,d,theta,1,30,T06,T03,T11,stimuli/T06_apa.wav,stimuli/T03_ada.wav,stimuli/T11_athetaa.wav
20,#6D7600,#9B823C,#808900,25.22,8.13,#4E6CCC,#405CDA,#5F5FBB,20.28,8.24,d,theta,zh,3,39,T03,T04,T08,stimuli/T03_ada.wav,stimuli/T04_athetaa.wav,stimuli/T08_azha.wav
21,#8A6126,#E17E50,#9D7D2E,30.55,13.7,#A33A7A,#790042,#A75481,21.74,11.92,zh,b,z,1,451,T12,T02,T01,stimuli/T12_azha.wav,stimuli/T02_aba.wav,stimuli/T01_aza.wav
22,#00A478,#007341,#009064,19.38,9.38,#006BB4,#002C4B,#006FAC,35.6,9.51,s,eth,theta,1,84,T09,T11,T10,stimuli/T09_asa.wav,stimuli/T11_aetha.wav,stimuli/T10_athetaa.wav
