trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color1_HL_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,color2_HL_deltaE,audio1_target,audio1_H,audio1_L,audio1_H_count,audio1_L_count,audio1_target_talker,audio1_H_talker,audio1_L_talker,audio1_target_file,audio1_H_file,audio1_L_file,audio2_target,audio2_H,audio2_L,audio2_H_count,audio2_L_count,audio2_target_talker,audio2_H_talker,audio2_L_talker,audio2_target_file,audio2_H_file,audio2_L_file
1,#006D8A,#002B15,#00304A,45.87,26.07,38.23,#D5528D,#9B7365,#BC7793,47.67,26.5,25.46,z,p,eth,1,162,T02,T02,T02,stimuli/T02_aza.wav,stimuli/T02_apa.wav,stimuli/T02_aetha.wav,d,n,g,3,107,T02,T02,T02,stimuli/T02_ada.wav,stimuli/T02_ana.wav,stimuli/T02_aga.wav
2,#C1385F,#4C002E,#7F0024,46.55,23.8,34.61,#007180,#001500,#004D69,49.78,26.71,43.08,p,b,theta,1,30,T10,T10,T10,stimuli/T10_apa.wav,stimuli/T10_aba.wav,stimuli/T10_athetaa.wav,m,p,s,1,4,T10,T10,T10,stimuli/T10_ama.wav,stimuli/T10_apa.wav,stimuli/T10_asa.wav
3,#A5376F,#8D6CA6,#7B0027,32.99,28.86,59.19,#DD6853,#90000A,#E9904F,40.67,23.36,59.77,n,zh,d,1,5,T08,T08,T08,stimuli/T08_ana.wav,stimuli/T08_azha.wav,stimuli/T08_ada.wav,s,eth,f,1,29,T08,T08,T08,stimuli/T08_asa.wav,stimuli/T08_aetha.wav,stimuli/T08_afa.wav
4,#6488D7,#E382F9,#7EB9F6,46.67,22.54,59.08,#C23D44,#FFB5B3,#891300,41.58,26.06,62.25,v,s,z,2,88,T04,T04,T04,stimuli/T04_ava.wav,stimuli/T04_asa.wav,stimuli/T04_aza.wav,sh,m,s,1,56,T04,T04,T04,stimuli/T04_asha.wav,stimuli/T04_ama.wav,stimuli/T04_asa.wav
5,#C0486D,#B60013,#A04181,44.32,22.26,63.93,#00846E,#30BD87,#009A8E,26.77,20.26,28.9,n,zh,d,1,5,T05,T05,T05,stimuli/T05_ana.wav,stimuli/T05_azha.wav,stimuli/T05_ada.wav,p,v,t,1,91,T05,T05,T05,stimuli/T05_apa.wav,stimuli/T05_ava.wav,stimuli/T05_ata.wav
6,#3966C2,#98D3FF,#8F64AD,40.84,25.86,46.75,#A14B7F,#E654C8,#49285A,35.91,29.8,57.02,s,n,theta,1,84,T04,T04,T04,stimuli/T04_asa.wav,stimuli/T04_ana.wav,stimuli/T04_athetaa.wav,m,theta,n,1,54,T04,T04,T04,stimuli/T04_ama.wav,stimuli/T04_athetaa.wav,stimuli/T04_ana.wav
7,#A17239,#9D3D12,#EC8865,29.38,27.27,29.44,#B74B3D,#CB002B,#ED597E,33.35,29.01,34.79,n,b,d,3,5,T12,T12,T12,stimuli/T12_ana.wav,stimuli/T12_aba.wav,stimuli/T12_ada.wav,k,n,f,3,17,T12,T12,T12,stimuli/T12_aka.wav,stimuli/T12_ana.wav,stimuli/T12_afa.wav
8,#D0725F,#8C6360,#F5643E,29.32,28.91,57.32,#AE336E,#4F0000,#C03196,46.87,21.0,64.36,theta,m,p,1,35,T06,T06,T06,stimuli/T06_athetaa.wav,stimuli/T06_ama.wav,stimuli/T06_apa.wav,m,z,s,1,4,T06,T06,T06,stimuli/T06_ama.wav,stimuli/T06_aza.wav,stimuli/T06_asa.wav
9,#C95D47,#CC6200,#812C2C,39.4,25.94,57.27,#00A375,#2AF1DD,#009D6E,31.95,26.64,42.53,p,v,t,1,91,T02,T02,T02,stimuli/T02_apa.wav,stimuli/T02_ava.wav,stimuli/T02_ata.wav,f,n,s,1,18,T02,T02,T02,stimuli/T02_afa.wav,stimuli/T02_ana.wav,stimuli/T02_asa.wav
10,#CB57A7,#A30098,#FF90F4,48.03,24.03,55.81,#A33F1C,#D9918B,#6D2122,40.06,27.99,42.92,theta,n,p,1,35,T04,T04,T04,stimuli/T04_athetaa.wav,stimuli/T04_ana.wav,stimuli/T04_apa.wav,g,theta,d,1,148,T04,T04,T04,stimuli/T04_aga.wav,stimuli/T04_athetaa.wav,stimuli/T04_ada.wav
11,#944990,#6B2DC7,#E06BC5,46.88,24.21,49.97,#5068AD,#452842,#936B97,38.4,25.91,31.08,s,eth,theta,1,84,T06,T06,T06,stimuli/T06_asa.wav,stimuli/T06_aetha.wav,stimuli/T06_athetaa.wav,p,b,t,1,91,T06,T06,T06,stimuli/T06_apa.wav,stimuli/T06_aba.wav,stimuli/T06_ata.wav
12,#0075AD,#002A4C,#0083D1,47.32,23.69,68.24,#B46A46,#807856,#672F0A,31.55,25.93,37.44,eth,s,z,1,255,T03,T03,T03,stimuli/T03_aetha.wav,stimuli/T03_asa.wav,stimuli/T03_aza.wav,m,z,s,1,4,T03,T03,T03,stimuli/T03_ama.wav,stimuli/T03_aza.wav,stimuli/T03_asa.wav
13,#00A0A7,#00C3D8,#07D9F4,30.41,24.92,36.76,#56984C,#007056,#99B45A,49.51,20.06,68.84,z,s,zh,1,242,T02,T02,T02,stimuli/T02_aza.wav,stimuli/T02_asa.wav,stimuli/T02_azha.wav,sh,p,theta,1,9,T02,T02,T02,stimuli/T02_asha.wav,stimuli/T02_apa.wav,stimuli/T02_athetaa.wav
14,#4B65A9,#A1C8FF,#694E7D,40.8,20.57,54.82,#009AD9,#009EFF,#008BD6,25.84,21.49,24.97,b,zh,eth,3,74,T11,T11,T11,stimuli/T11_aba.wav,stimuli/T11_azha.wav,stimuli/T11_aetha.wav,f,g,s,1,18,T11,T11,T11,stimuli/T11_afa.wav,stimuli/T11_aga.wav,stimuli/T11_asa.wav
15,#C3514A,#830021,#C37841,28.36,26.5,50.87,#BF6794,#E3BADA,#A56968,32.34,26.06,36.01,g,theta,d,1,148,T10,T10,T10,stimuli/T10_aga.wav,stimuli/T10_athetaa.wav,stimuli/T10_ada.wav,z,s,zh,1,242,T10,T10,T10,stimuli/T10_aza.wav,stimuli/T10_asa.wav,stimuli/T10_azha.wav
16,#B14F66,#740016,#6E002B,43.26,25.74,26.15,#5158B6,#6E5086,#595CEE,25.89,28.69,52.31,s,zh,f,2,29,T03,T03,T03,stimuli/T03_asa.wav,stimuli/T03_azha.wav,stimuli/T03_afa.wav,b,p,v,1,81,T03,T03,T03,stimuli/T03_aba.wav,stimuli/T03_apa.wav,stimuli/T03_ava.wav
17,#0072C9,#00B4FF,#00449B,31.74,21.22,46.92,#006D9E,#008592,#00375C,26.06,22.85,36.84,m,z,b,1,5,T06,T06,T06,stimuli/T06_ama.wav,stimuli/T06_aza.wav,stimuli/T06_aba.wav,theta,d,p,4,35,T06,T06,T06,stimuli/T06_athetaa.wav,stimuli/T06_ada.wav,stimuli/T06_apa.wav
18,#7F50A4,#FDB3FF,#4B7AD6,41.34,28.76,45.61,#B35044,#702B36,#CB312F,27.22,23.33,44.78,k,g,p,1,190,T09,T09,T09,stimuli/T09_aka.wav,stimuli/T09_aga.wav,stimuli/T09_apa.wav,eth,f,z,1,255,T09,T09,T09,stimuli/T09_aetha.wav,stimuli/T09_afa.wav,stimuli/T09_aza.wav
19,#4C8447,#CBA846,#006327,47.07,23.56,68.34,#AE5229,#3D2400,#AC2C00,47.16,26.57,52.22,m,z,n,1,54,T03,T03,T03,stimuli/T03_ama.wav,stimuli/T03_aza.wav,stimuli/T03_ana.wav,zh,b,z,1,451,T03,T03,T03,stimuli/T03_azha.wav,stimuli/T03_aba.wav,stimuli/T03_aza.wav
20,#C56531,#957F1D,#FF702F,36.47,25.7,55.37,#6487EF,#3C5399,#3CB4FF,26.68,21.4,41.28,d,n,g,3,107,T07,T07,T07,stimuli/T07_ada.wav,stimuli/T07_ana.wav,stimuli/T07_aga.wav,k,n,t,3,127,T07,T07,T07,stimuli/T07_aka.wav,stimuli/T07_ana.wav,stimuli/T07_ata.wav
21,#A46422,#6F1127,#D6643E,46.64,23.17,44.08,#A164C1,#836796,#A323A9,28.0,27.02,50.7,t,g,k,1,97,T04,T04,T04,stimuli/T04_ata.wav,stimuli/T04_aga.wav,stimuli/T04_aka.wav,n,b,d,3,5,T04,T04,T04,stimuli/T04_ana.wav,stimuli/T04_aba.wav,stimuli/T04_ada.wav
22,#A468B9,#F389CA,#DAB1FF,26.27,27.9,31.9,#00937F,#81706F,#00593F,49.83,23.83,57.71,zh,b,d,1,31,T04,T04,T04,stimuli/T04_azha.wav,stimuli/T04_aba.wav,stimuli/T04_ada.wav,z,s,eth,1,162,T04,T04,T04,stimuli/T04_aza.wav,stimuli/T04_asa.wav,stimuli/T04_aetha.wav
23,#009DE8,#4F6682,#008DF4,41.73,21.67,58.69,#4D6816,#004F35,#786B00,47.72,26.06,73.67,k,g,p,1,190,T04,T04,T04,stimuli/T04_aka.wav,stimuli/T04_aga.wav,stimuli/T04_apa.wav,t,eth,k,1,97,T04,T04,T04,stimuli/T04_ata.wav,stimuli/T04_aetha.wav,stimuli/T04_aka.wav
24,#6656B0,#7FABFF,#603263,47.87,29.19,76.45,#C87641,#E7B941,#80531E,36.87,23.35,47.3,g,theta,v,1,197,T05,T05,T05,stimuli/T05_aga.wav,stimuli/T05_athetaa.wav,stimuli/T05_ava.wav,eth,theta,z,1,255,T05,T05,T05,stimuli/T05_aetha.wav,stimuli/T05_athetaa.wav,stimuli/T05_aza.wav
