trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,audio_target,audio_H,audio_L,audio_H_count,audio_L_count,audio_talker,audio_target_file,audio_H_file,audio_L_file
1,#B25F16,#CDA07A,#BF5F00,36.8,12.55,#D76467,#A91B1A,#C95243,28.99,14.06,zh,b,z,1,451,T03,T03_azha.wav,T03_aba.wav,T03_aza.wav
2,#0069BD,#004294,#4868C3,16.24,13.18,#0099CE,#009ED6,#009CE8,24.11,14.72,zh,sh,d,1,31,T02,T02_azha.wav,T02_asha.wav,T02_ada.wav
3,#5E59B6,#08408D,#6446AF,18.43,11.79,#8A8E37,#726C00,#7A9B50,31.25,14.71,g,s,v,2,197,T12,T12_aga.wav,T12_asa.wav,T12_ava.wav
4,#E75C9B,#F30071,#D13670,27.24,14.99,#007D7D,#003C46,#00878B,27.3,6.26,s,n,sh,1,57,T12,T12_asa.wav,T12_ana.wav,T12_asha.wav
5,#9883D4,#B190C0,#6D70C1,19.44,11.51,#BE6942,#D5A384,#D47335,27.46,14.23,g,s,v,2,197,T08,T08_aga.wav,T08_asa.wav,T08_ava.wav
6,#B83468,#AB007D,#B41B5F,25.36,6.63,#198548,#7B994D,#117D4F,25.5,8.73,t,z,p,1,109,T09,T09_ata.wav,T09_aza.wav,T09_apa.wav
7,#667CC3,#B6B1CA,#2E6CB1,34.62,11.54,#00839E,#0070A3,#00A4C8,18.1,13.24,s,eth,theta,1,84,T09,T09_asa.wav,T09_aetha.wav,T09_athetaa.wav
8,#0094D6,#0089B2,#0098E6,18.6,7.91,#B03B56,#F9855D,#B02B44,39.99,9.33,f,n,s,1,18,T08,T08_afa.wav,T08_ana.wav,T08_asa.wav
9,#BE5EA3,#8659C4,#D564BC,30.95,10.96,#BF7827,#CFA500,#A56A02,30.5,9.1,eth,s,v,1,81,T01,T01_aetha.wav,T01_asa.wav,T01_ava.wav
10,#4B64C2,#766AEF,#4650A0,24.42,10.86,#A77A1C,#872E00,#C3972F,35.75,11.64,eth,s,z,1,255,T12,T12_aetha.wav,T12_asa.wav,T12_aza.wav
11,#934582,#B6416E,#A72F7B,21.8,14.59,#165DB1,#1E257E,#3A458B,27.0,14.42,b,p,v,1,81,T06,T06_aba.wav,T06_apa.wav,T06_ava.wav
12,#007673,#006449,#00554E,17.92,13.89,#289E7E,#00CFBF,#36AD9C,22.75,11.11,zh,s,g,1,25,T09,T09_azha.wav,T09_asa.wav,T09_aga.wav
13,#8D68AD,#AA757D,#8F5897,36.39,8.88,#D2718E,#C73B70,#E77A90,21.48,8.47,theta,m,s,1,45,T03,T03_athetaa.wav,T03_ama.wav,T03_asa.wav
14,#A4337C,#642D6D,#AC1373,24.39,10.35,#0088D0,#00BAFF,#007EBE,22.32,7.75,s,n,theta,1,84,T07,T07_asa.wav,T07_ana.wav,T07_athetaa.wav
15,#0061B2,#4D87AB,#004CAB,32.33,14.58,#AC4A63,#954D25,#B65B65,34.78,9.18,n,b,m,3,57,T02,T02_ana.wav,T02_aba.wav,T02_ama.wav
16,#575CAB,#B1AEEC,#3A468B,33.96,10.99,#AC8846,#5E5D15,#CF9459,25.44,12.46,f,n,p,1,27,T11,T11_afa.wav,T11_ana.wav,T11_apa.wav
17,#9B8131,#464900,#A28527,28.72,6.2,#7E5EBC,#97468E,#8569D0,23.22,6.46,eth,s,z,1,255,T11,T11_aetha.wav,T11_asa.wav,T11_aza.wav
18,#00715D,#00A996,#005A53,25.36,11.85,#00A5AD,#0080C0,#0098A3,37.58,13.66,g,s,zh,2,83,T02,T02_aga.wav,T02_asa.wav,T02_azha.wav
19,#BF5B6C,#BD736D,#C94F6F,15.29,10.12,#009182,#00E1BA,#008683,30.7,9.85,p,d,k,1,207,T05,T05_apa.wav,T05_ada.wav,T05_aka.wav
20,#B73765,#B46867,#C83D69,28.34,6.34,#669930,#9B966B,#5D9500,38.21,13.35,k,g,p,1,190,T04,T04_aka.wav,T04_aga.wav,T04_apa.wav
21,#C2467C,#80356F,#BA3387,24.73,13.84,#C461B6,#684AA7,#B84DBC,29.74,14.41,eth,s,v,1,81,T06,T06_aetha.wav,T06_asa.wav,T06_ava.wav
22,#2D6F2B,#008E37,#0C7A48,21.32,12.99,#7C84DF,#EFD6FF,#9893E2,34.38,10.18,t,z,theta,1,9,T11,T11_ata.wav,T11_aza.wav,T11_athetaa.wav
23,#5F9347,#004B24,#598448,36.68,10.02,#9A5BA7,#4263D7,#BA65B8,35.03,10.09,s,n,theta,1,84,T09,T09_asa.wav,T09_ana.wav,T09_athetaa.wav
24,#006DA7,#004279,#0065A1,30.17,6.66,#7E5913,#304D00,#6C5217,33.91,8.47,b,zh,z,3,19,T04,T04_aba.wav,T04_azha.wav,T04_aza.wav
25,#0092E6,#00BEFF,#0092DA,22.01,12.54,#928236,#B68253,#AAA65F,20.87,14.73,d,b,eth,12,33,T09,T09_ada.wav,T09_aba.wav,T09_aetha.wav
26,#B2516F,#D27D89,#A65A6F,17.12,8.66,#0078C7,#008297,#0070AB,35.52,11.54,theta,d,p,4,35,T09,T09_athetaa.wav,T09_ada.wav,T09_apa.wav
27,#319943,#617F11,#5AAE41,26.66,13.36,#A94255,#DD7E98,#8C2237,23.11,11.62,n,g,d,2,5,T05,T05_ana.wav,T05_aga.wav,T05_ada.wav
28,#806E00,#203800,#7E7A19,35.18,8.52,#008CD4,#0085E2,#0074B5,17.53,9.99,sh,f,s,4,56,T02,T02_asha.wav,T02_afa.wav,T02_asa.wav
29,#A43D49,#A40041,#9A1440,31.45,13.84,#75883A,#102C00,#648930,39.83,8.83,d,b,g,12,107,T01,T01_ada.wav,T01_aba.wav,T01_aga.wav
30,#006DB1,#8DA8E4,#005993,34.59,10.16,#58974D,#497035,#65B670,16.95,12.52,t,z,k,1,97,T05,T05_ata.wav,T05_aza.wav,T05_aka.wav
31,#00A48A,#00605B,#008E80,36.5,10.38,#D56C94,#F83BA8,#E986BB,34.3,12.69,z,sh,v,1,48,T06,T06_aza.wav,T06_asha.wav,T06_ava.wav
32,#0087A1,#0095AB,#10879D,31.75,10.84,#AB3469,#6B0025,#C3587B,25.57,12.97,zh,s,g,1,25,T08,T08_azha.wav,T08_asa.wav,T08_aga.wav
33,#0098AC,#00C5C8,#00778C,18.94,12.56,#6C6FD6,#494A93,#7158B7,21.49,11.66,n,zh,m,1,57,T03,T03_ana.wav,T03_azha.wav,T03_ama.wav
34,#B6425C,#A73D38,#B23057,17.31,6.72,#748B26,#756D05,#8F9A33,17.97,8.57,v,s,z,2,88,T04,T04_ava.wav,T04_asa.wav,T04_aza.wav
35,#A28F1B,#A8AA00,#A08529,21.05,9.36,#0DA074,#59BD66,#00B573,25.02,14.9,eth,s,z,1,255,T01,T01_aetha.wav,T01_asa.wav,T01_aza.wav
36,#B34632,#DA6936,#8A3214,19.23,13.75,#7069C4,#E796FC,#8C76CD,33.25,8.03,d,n,g,3,107,T05,T05_ada.wav,T05_ana.wav,T05_aga.wav
37,#6F58B9,#A6B7FF,#615DC5,38.95,6.38,#366E24,#6E8A52,#44661D,19.68,8.68,zh,s,z,1,451,T01,T01_azha.wav,T01_asa.wav,T01_aza.wav
38,#63982E,#3EAF45,#74911E,19.26,10.53,#3C7FD9,#006FDA,#0090E9,19.02,9.68,zh,b,z,1,451,T08,T08_azha.wav,T08_aba.wav,T08_aza.wav
39,#7B7518,#3E3500,#A28E33,26.83,12.15,#007FAB,#002B4D,#007DB6,34.95,9.14,m,z,n,1,54,T01,T01_ama.wav,T01_aza.wav,T01_ana.wav
40,#007BC4,#31BCEC,#007CCF,29.81,8.39,#009C83,#2CF8DF,#008166,32.26,12.82,b,n,z,4,19,T12,T12_aba.wav,T12_ana.wav,T12_aza.wav
41,#BB843A,#FFA24C,#D0925A,39.73,10.8,#0064BB,#3293FC,#567EDA,19.95,14.43,g,m,d,1,148,T02,T02_aga.wav,T02_ama.wav,T02_ada.wav
42,#008CD1,#7C9AFF,#0081D0,39.09,7.66,#00709A,#00518A,#006898,18.04,7.73,sh,m,s,1,56,T07,T07_asha.wav,T07_ama.wav,T07_asa.wav
43,#0C7B3D,#009A5D,#368140,24.16,6.73,#5360BD,#001D67,#6F65C6,33.22,7.27,sh,m,theta,1,9,T12,T12_asha.wav,T12_ama.wav,T12_athetaa.wav
44,#0079CA,#004E74,#368AD6,34.18,7.95,#9F3B73,#830076,#874371,25.93,13.1,d,n,g,3,107,T07,T07_ada.wav,T07_ana.wav,T07_aga.wav
45,#3C7123,#0E6847,#306016,25.26,7.0,#D0457E,#FFA3FA,#A4195D,39.66,14.51,v,m,z,7,88,T04,T04_ava.wav,T04_ama.wav,T04_aza.wav
46,#9B4D10,#971929,#814600,32.11,11.56,#2A86C7,#00BBF9,#3173AD,24.27,8.52,g,theta,d,1,148,T12,T12_aga.wav,T12_athetaa.wav,T12_ada.wav
47,#6456B4,#2C3AC0,#8C57C2,28.12,14.02,#008DB1,#009BA0,#0083AB,21.02,6.82,z,p,eth,1,162,T11,T11_aza.wav,T11_apa.wav,T11_aetha.wav
48,#C7484B,#840D00,#B92F3C,32.15,7.65,#006DD0,#95A5F3,#3482E4,29.54,8.69,zh,b,d,1,31,T11,T11_azha.wav,T11_aba.wav,T11_ada.wav
49,#0068BD,#779EFF,#006FB2,38.85,13.14,#C46C96,#DA9899,#E4679D,25.84,14.63,eth,theta,v,1,81,T02,T02_aetha.wav,T02_athetaa.wav,T02_ava.wav
50,#6D7600,#9B823C,#808900,25.22,8.13,#4E6CCC,#405CDA,#5F5FBB,20.28,8.24,d,n,eth,3,33,T05,T05_ada.wav,T05_ana.wav,T05_aetha.wav
51,#8A6126,#E17E50,#9D7D2E,30.55,13.7,#A33A7A,#790042,#A75481,21.74,11.92,k,z,p,1,190,T06,T06_aka.wav,T06_aza.wav,T06_apa.wav
52,#00A478,#007341,#009064,19.38,9.38,#006BB4,#002C4B,#006FAC,35.6,9.51,d,theta,g,3,107,T05,T05_ada.wav,T05_athetaa.wav,T05_aga.wav
53,#5C69B1,#043B92,#5C86DE,23.1,14.29,#AC4297,#B047BF,#BD3C9C,19.41,8.29,t,eth,theta,1,9,T06,T06_ata.wav,T06_aetha.wav,T06_athetaa.wav
54,#9F5C37,#3C3925,#9E6E3B,39.99,11.44,#00A2B6,#90F6FA,#00A5B7,38.35,7.89,d,theta,zh,3,39,T04,T04_ada.wav,T04_athetaa.wav,T04_azha.wav
55,#0069A2,#00A4FF,#0089C4,31.71,12.52,#775B03,#975400,#705A00,27.95,11.0,b,zh,z,3,19,T07,T07_aba.wav,T07_azha.wav,T07_aza.wav
56,#5978C3,#005CD2,#3C90D8,29.24,14.19,#C76563,#6F4D12,#D45A5F,39.8,10.28,v,s,eth,2,379,T08,T08_ava.wav,T08_asa.wav,T08_aetha.wav
57,#0099A9,#34EBFF,#00BFD6,30.74,14.39,#887B1D,#133C00,#7C6B0E,38.77,6.42,n,b,z,3,7,T06,T06_ana.wav,T06_aba.wav,T06_aza.wav
58,#8F80C8,#0050AF,#8681B3,31.26,13.25,#288D61,#627D83,#3D7F42,38.42,13.13,z,p,v,1,48,T01,T01_aza.wav,T01_apa.wav,T01_ava.wav
59,#879325,#E3B14A,#7D8E00,31.47,8.25,#009AE8,#00C0FF,#00A1DC,17.62,14.34,t,eth,theta,1,9,T10,T10_ata.wav,T10_aetha.wav,T10_athetaa.wav
60,#0088A7,#006487,#008A9E,28.01,8.22,#B25E48,#BEA069,#A24948,33.72,12.22,b,p,eth,1,74,T08,T08_aba.wav,T08_apa.wav,T08_aetha.wav
