sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
p,k,0,207,T01_p3.wav,T01_k3.wav,T01,us1,confusable
p,k,0,207,T02_p3.wav,T02_k3.wav,T02,us1,confusable
p,k,0,207,T03_p3.wav,T03_k3.wav,T03,us1,confusable
p,k,0,207,T04_p3.wav,T04_k3.wav,T04,us1,confusable
p,k,0,207,T05_p3.wav,T05_k3.wav,T05,us1,confusable
p,k,0,207,T06_p3.wav,T06_k3.wav,T06,us1,confusable
p,k,0,207,T07_p3.wav,T07_k3.wav,T07,us2,confusable
p,k,0,207,T08_p3.wav,T08_k3.wav,T08,us2,confusable
p,k,0,207,T09_p3.wav,T09_k3.wav,T09,us2,confusable
p,k,0,207,T10_p3.wav,T10_k3.wav,T10,us3,confusable
p,k,0,207,T11_p3.wav,T11_k3.wav,T11,us3,confusable
p,k,0,207,T12_p3.wav,T12_k3.wav,T12,us3,confusable
p,t,0,91,T01_p3.wav,T01_t3.wav,T01,us1,confusable
p,t,0,91,T02_p3.wav,T02_t3.wav,T02,us1,confusable
p,t,0,91,T03_p3.wav,T03_t3.wav,T03,us1,confusable
p,t,0,91,T04_p3.wav,T04_t3.wav,T04,us1,confusable
p,t,0,91,T05_p3.wav,T05_t3.wav,T05,us1,confusable
p,t,0,91,T06_p3.wav,T06_t3.wav,T06,us1,confusable
p,t,0,91,T07_p3.wav,T07_t3.wav,T07,us2,confusable
p,t,0,91,T08_p3.wav,T08_t3.wav,T08,us2,confusable
p,t,0,91,T09_p3.wav,T09_t3.wav,T09,us2,confusable
p,t,0,91,T10_p3.wav,T10_t3.wav,T10,us3,confusable
p,t,0,91,T11_p3.wav,T11_t3.wav,T11,us3,confusable
p,t,0,91,T12_p3.wav,T12_t3.wav,T12,us3,confusable
p,theta,0,30,T01_p3.wav,T01_theta3.wav,T01,us1,confusable
p,theta,0,30,T02_p3.wav,T02_theta3.wav,T02,us1,confusable
p,theta,0,30,T03_p3.wav,T03_theta3.wav,T03,us1,confusable
p,theta,0,30,T04_p3.wav,T04_theta3.wav,T04,us1,confusable
p,theta,0,30,T05_p3.wav,T05_theta3.wav,T05,us1,confusable
p,theta,0,30,T06_p3.wav,T06_theta3.wav,T06,us1,confusable
p,theta,0,30,T07_p3.wav,T07_theta3.wav,T07,us2,confusable
p,theta,0,30,T08_p3.wav,T08_theta3.wav,T08,us2,confusable
p,theta,0,30,T09_p3.wav,T09_theta3.wav,T09,us2,confusable
p,theta,0,30,T10_p3.wav,T10_theta3.wav,T10,us3,confusable
p,theta,0,30,T11_p3.wav,T11_theta3.wav,T11,us3,confusable
p,theta,0,30,T12_p3.wav,T12_theta3.wav,T12,us3,confusable
p,b,1,1,T01_p3.wav,T01_b3.wav,T01,us1,distinct
p,b,1,1,T02_p3.wav,T02_b3.wav,T02,us1,distinct
p,b,1,1,T03_p3.wav,T03_b3.wav,T03,us1,distinct
p,b,1,1,T04_p3.wav,T04_b3.wav,T04,us1,distinct
p,b,1,1,T05_p3.wav,T05_b3.wav,T05,us1,distinct
p,b,1,1,T06_p3.wav,T06_b3.wav,T06,us1,distinct
p,b,1,1,T07_p3.wav,T07_b3.wav,T07,us2,distinct
p,b,1,1,T08_p3.wav,T08_b3.wav,T08,us2,distinct
p,b,1,1,T09_p3.wav,T09_b3.wav,T09,us2,distinct
p,b,1,1,T10_p3.wav,T10_b3.wav,T10,us3,distinct
p,b,1,1,T11_p3.wav,T11_b3.wav,T11,us3,distinct
p,b,1,1,T12_p3.wav,T12_b3.wav,T12,us3,distinct
p,d,1,1,T01_p3.wav,T01_d3.wav,T01,us1,distinct
p,d,1,1,T02_p3.wav,T02_d3.wav,T02,us1,distinct
p,d,1,1,T03_p3.wav,T03_d3.wav,T03,us1,distinct
p,d,1,1,T04_p3.wav,T04_d3.wav,T04,us1,distinct
p,d,1,1,T05_p3.wav,T05_d3.wav,T05,us1,distinct
p,d,1,1,T06_p3.wav,T06_d3.wav,T06,us1,distinct
p,d,1,1,T07_p3.wav,T07_d3.wav,T07,us2,distinct
p,d,1,1,T08_p3.wav,T08_d3.wav,T08,us2,distinct
p,d,1,1,T09_p3.wav,T09_d3.wav,T09,us2,distinct
